0.42	0.56	3.70	3.52	4.54	1.48	1.19	18.78	2.00	4.00	5.00	5.00	8.00	4.00	4.00	1.00
-0.99	0.91	1.66	0.13	6.60	1.88	4.52	3.50	5.00	5.00	5.00	2.00	9.00	6.00	3.00	0.00
0.64	-0.76	1.86	3.59	12.85	1.99	-3.69	8.83	5.00	6.00	2.00	5.00	10.00	4.00	5.00	1.00
-0.71	-0.47	1.79	2.37	10.14	1.50	-1.80	8.15	4.00	5.00	3.00	5.00	8.00	1.00	4.00	1.00
0.65	-0.68	2.44	0.10	8.70	0.25	-2.52	8.07	3.00	6.00	5.00	3.00	8.00	3.00	3.00	1.00
0.03	-0.69	2.79	3.23	6.49	0.13	-1.36	5.35	2.00	3.00	3.00	2.00	6.00	1.00	2.00	1.00
-0.23	0.73	3.21	3.57	4.19	0.53	1.20	8.87	2.00	4.00	5.00	3.00	8.00	3.00	3.00	1.00
0.35	-0.24	3.80	0.94	6.32	1.21	-0.73	18.66	1.00	6.00	1.00	5.00	5.00	4.00	2.00	1.00
0.36	0.49	1.55	0.24	8.49	1.75	2.62	4.15	6.00	4.00	2.00	3.00	10.00	6.00	3.00	0.00
0.60	-0.17	1.31	1.45	6.81	0.11	-1.22	4.31	5.00	6.00	2.00	3.00	8.00	6.00	1.00	0.00
-0.23	-0.37	2.12	1.64	9.04	1.66	-1.23	9.91	3.00	6.00	4.00	5.00	8.00	6.00	3.00	1.00
-0.88	-0.49	2.13	3.53	7.69	1.52	-1.93	4.50	3.00	3.00	5.00	2.00	7.00	3.00	2.00	1.00
0.52	-0.18	1.29	3.94	8.34	1.27	-1.16	5.42	6.00	6.00	4.00	5.00	9.00	4.00	2.00	0.00
0.31	0.57	2.03	0.92	6.76	1.83	3.10	10.64	5.00	4.00	2.00	5.00	10.00	3.00	4.00	0.00
0.20	-0.57	2.24	2.21	9.60	1.64	-1.25	12.18	3.00	1.00	5.00	5.00	8.00	6.00	4.00	1.00
-0.43	-0.33	1.48	1.81	7.26	1.58	-1.02	5.68	4.00	6.00	1.00	4.00	7.00	4.00	2.00	0.00
0.83	0.73	1.67	3.29	5.41	0.97	3.28	5.95	5.00	3.00	2.00	3.00	9.00	6.00	3.00	0.00
0.23	-0.70	1.76	3.73	7.28	1.03	-1.82	3.61	3.00	3.00	5.00	2.00	7.00	1.00	3.00	1.00
0.69	-0.10	1.90	1.71	6.08	0.85	0.22	10.13	3.00	4.00	2.00	5.00	6.00	3.00	1.00	0.00
0.84	0.13	1.58	1.13	7.60	0.79	0.81	7.23	5.00	1.00	5.00	5.00	8.00	2.00	2.00	0.00
-0.29	0.22	3.75	2.68	5.32	0.28	0.46	17.90	2.00	3.00	3.00	5.00	8.00	3.00	2.00	1.00
0.81	0.88	2.56	2.35	5.60	0.22	2.51	7.07	3.00	1.00	4.00	3.00	8.00	5.00	3.00	0.00
-0.24	0.03	1.48	3.57	7.47	1.85	0.03	5.48	5.00	1.00	3.00	4.00	8.00	6.00	1.00	0.00
1.00	0.20	1.32	1.35	5.79	1.81	1.23	5.69	5.00	3.00	3.00	4.00	8.00	3.00	2.00	0.00
-0.04	-0.59	2.18	0.80	9.32	1.20	-1.55	10.80	3.00	5.00	5.00	5.00	8.00	3.00	4.00	1.00
0.46	0.71	2.73	3.58	3.74	0.58	2.50	13.56	3.00	5.00	5.00	5.00	9.00	3.00	4.00	1.00
-0.02	-0.14	1.34	0.18	7.36	0.53	-0.71	6.58	5.00	6.00	3.00	5.00	8.00	4.00	2.00	0.00
-0.95	0.34	2.39	0.02	5.49	0.28	0.71	11.80	3.00	1.00	5.00	5.00	8.00	3.00	3.00	1.00
0.17	0.12	1.65	1.48	7.45	0.41	1.12	8.90	5.00	3.00	3.00	5.00	9.00	6.00	1.00	0.00
0.36	-0.75	2.51	1.39	10.34	1.60	-2.38	10.88	3.00	6.00	5.00	4.00	8.00	3.00	4.00	1.00
-0.29	0.53	1.90	2.35	5.15	0.78	2.47	7.95	4.00	5.00	5.00	4.00	9.00	3.00	3.00	0.00
-0.99	0.31	2.42	3.75	5.37	0.12	1.18	11.93	3.00	5.00	5.00	5.00	9.00	4.00	3.00	1.00
0.59	0.76	1.62	0.30	5.95	0.60	4.81	6.27	6.00	3.00	5.00	4.00	11.00	6.00	4.00	0.00
0.74	0.34	1.46	3.75	6.59	0.43	2.00	7.57	6.00	6.00	5.00	5.00	10.00	4.00	2.00	0.00
0.15	0.39	1.17	3.57	5.53	1.69	1.38	2.09	5.00	5.00	3.00	2.00	7.00	3.00	2.00	0.00
0.54	-0.91	1.32	0.79	13.23	1.73	-5.79	5.88	6.00	3.00	3.00	5.00	9.00	5.00	5.00	1.00
0.37	0.45	2.74	3.02	6.04	1.32	1.22	13.63	3.00	4.00	3.00	5.00	9.00	6.00	3.00	1.00
-0.43	0.74	2.19	1.22	7.65	1.01	2.57	4.50	4.00	6.00	5.00	2.00	9.00	3.00	3.00	0.00
-0.01	0.06	2.38	3.21	5.90	1.67	0.37	13.13	3.00	3.00	2.00	5.00	8.00	5.00	2.00	0.00
0.89	0.89	1.82	2.57	6.73	1.31	4.48	6.15	5.00	6.00	5.00	3.00	10.00	4.00	3.00	0.00
-0.33	-0.72	1.31	3.77	9.03	1.69	-4.78	3.60	6.00	6.00	5.00	2.00	9.00	4.00	2.00	1.00
-0.58	0.30	2.17	2.63	5.80	0.05	0.70	7.81	3.00	2.00	5.00	4.00	7.00	5.00	2.00	0.00
-0.01	0.94	1.88	1.71	5.89	1.91	5.78	8.77	6.00	1.00	2.00	5.00	12.00	3.00	5.00	0.00
-0.81	-0.35	2.14	0.63	7.94	1.56	-0.63	10.15	3.00	6.00	5.00	5.00	7.00	6.00	3.00	1.00
0.72	0.81	3.01	1.47	4.97	1.72	2.75	14.22	3.00	3.00	5.00	5.00	10.00	1.00	5.00	1.00
-0.14	-0.88	3.48	2.41	5.56	1.31	-0.81	7.93	1.00	5.00	4.00	2.00	5.00	3.00	2.00	1.00
0.19	0.39	1.84	2.49	7.27	1.43	1.81	9.22	5.00	5.00	5.00	5.00	10.00	6.00	3.00	0.00
0.13	0.77	2.45	1.14	6.14	1.97	2.75	11.91	4.00	3.00	2.00	5.00	11.00	1.00	5.00	1.00
0.41	-0.20	3.06	2.36	7.05	1.08	-0.26	15.53	2.00	3.00	5.00	5.00	7.00	3.00	2.00	1.00
-0.77	-0.72	2.38	3.02	9.20	0.66	-2.09	7.98	3.00	5.00	4.00	3.00	8.00	5.00	3.00	1.00
0.69	-0.47	3.62	2.84	5.12	1.92	-0.07	13.24	1.00	1.00	1.00	4.00	5.00	6.00	3.00	1.00
0.97	-0.12	1.60	3.74	6.35	0.10	-0.03	6.40	4.00	6.00	5.00	4.00	7.00	5.00	1.00	0.00
0.43	0.15	1.38	1.85	6.51	0.40	0.39	2.28	5.00	5.00	5.00	2.00	8.00	5.00	2.00	0.00
0.57	0.92	1.76	0.81	5.37	1.36	4.44	4.82	5.00	1.00	3.00	3.00	10.00	5.00	4.00	0.00
0.22	0.94	3.01	3.09	4.15	0.55	2.69	15.88	3.00	4.00	2.00	5.00	10.00	3.00	5.00	1.00
-0.62	-0.35	1.62	1.22	8.83	1.95	-1.26	4.78	5.00	2.00	3.00	2.00	9.00	3.00	2.00	0.00
-0.84	-0.29	1.04	2.43	7.39	1.55	-2.29	2.47	6.00	3.00	5.00	2.00	7.00	4.00	2.00	1.00
-0.53	-0.62	1.34	2.53	8.41	0.12	-2.77	3.31	5.00	3.00	1.00	3.00	8.00	1.00	3.00	1.00
0.31	0.32	1.64	1.72	6.41	0.35	1.84	8.35	5.00	6.00	3.00	5.00	9.00	3.00	2.00	0.00
-0.71	-0.57	1.44	3.11	10.84	1.88	-3.39	8.09	5.00	1.00	3.00	5.00	8.00	6.00	4.00	1.00
-0.57	-0.45	2.41	0.14	8.44	1.92	-1.01	6.83	3.00	3.00	3.00	3.00	8.00	5.00	2.00	1.00
0.07	-0.90	1.24	3.11	11.43	1.42	-5.76	4.50	6.00	5.00	5.00	4.00	9.00	5.00	4.00	1.00
-0.98	0.80	2.28	1.49	-2.10	1.85	0.75	12.21	1.00	3.00	2.00	5.00	3.00	6.00	5.00	1.00
0.35	-0.29	1.61	0.76	7.21	1.61	-0.93	3.44	4.00	5.00	1.00	2.00	7.00	5.00	2.00	1.00
-0.28	-0.33	2.71	1.15	6.29	0.10	-0.67	3.52	2.00	4.00	4.00	1.00	7.00	3.00	2.00	1.00
0.18	-0.21	3.95	2.69	4.64	0.84	-0.60	19.93	1.00	1.00	2.00	5.00	5.00	3.00	2.00	1.00
-0.72	0.87	2.59	1.29	4.81	1.64	2.61	7.59	3.00	5.00	2.00	3.00	9.00	6.00	3.00	0.00
-0.90	0.76	1.46	3.27	5.74	1.77	4.79	6.00	6.00	4.00	5.00	4.00	10.00	6.00	4.00	0.00
-0.93	0.74	1.61	3.21	5.65	1.65	3.46	5.67	5.00	5.00	3.00	3.00	9.00	5.00	3.00	0.00
0.87	-0.60	2.20	2.28	10.06	1.99	-1.60	11.66	3.00	5.00	3.00	5.00	8.00	3.00	4.00	1.00
-0.95	-0.13	1.35	2.46	7.63	1.43	-0.93	7.57	5.00	5.00	5.00	5.00	8.00	2.00	2.00	0.00
-0.32	-0.03	2.14	2.87	6.73	0.54	-0.10	9.57	3.00	3.00	3.00	4.00	8.00	6.00	1.00	0.00
0.19	-0.41	1.44	0.83	9.15	1.01	-2.58	5.49	5.00	6.00	5.00	4.00	8.00	3.00	3.00	1.00
-0.25	-0.03	1.18	0.21	6.72	1.89	0.22	3.73	6.00	3.00	3.00	3.00	8.00	6.00	1.00	0.00
-0.77	-0.16	2.57	0.33	8.23	0.02	-0.30	9.77	3.00	3.00	3.00	4.00	9.00	5.00	2.00	0.00
0.96	0.90	2.42	2.45	5.23	0.18	3.01	12.94	4.00	1.00	4.00	5.00	11.00	5.00	6.00	1.00
-0.93	0.14	1.54	0.17	6.87	0.17	0.93	4.01	5.00	5.00	2.00	3.00	8.00	3.00	2.00	0.00
-0.23	0.88	2.27	3.10	4.57	1.33	2.47	5.05	3.00	5.00	4.00	2.00	8.00	5.00	3.00	0.00
0.81	-0.76	3.72	0.76	11.10	1.53	-1.49	19.43	2.00	5.00	2.00	5.00	8.00	3.00	4.00	1.00
-0.42	-0.13	1.76	0.74	8.23	0.42	-1.00	7.91	4.00	3.00	5.00	5.00	8.00	6.00	2.00	1.00
-0.30	-0.73	2.08	3.12	10.29	1.43	-2.37	10.32	3.00	5.00	4.00	5.00	7.00	6.00	4.00	1.00
0.78	-0.38	1.73	1.92	5.78	0.34	-0.98	1.80	3.00	5.00	5.00	1.00	6.00	6.00	1.00	0.00
-0.04	0.34	2.02	0.79	6.30	0.63	1.24	9.72	4.00	5.00	3.00	5.00	9.00	6.00	3.00	0.00
0.86	0.90	2.87	1.29	5.39	1.44	2.48	10.77	3.00	3.00	5.00	4.00	10.00	4.00	5.00	1.00
0.25	0.39	2.03	3.11	6.27	0.92	1.26	10.57	4.00	5.00	4.00	5.00	9.00	1.00	3.00	0.00
0.36	-0.37	1.35	3.45	8.63	1.20	-1.66	6.73	5.00	1.00	2.00	5.00	8.00	6.00	3.00	1.00
-0.46	-0.72	1.38	1.10	9.37	1.37	-3.90	4.82	5.00	3.00	5.00	3.00	8.00	6.00	3.00	1.00
0.39	-0.34	1.28	3.07	7.35	0.54	-1.78	3.71	5.00	6.00	5.00	3.00	8.00	6.00	2.00	1.00
0.79	0.67	2.10	1.32	7.50	1.31	3.55	11.35	5.00	3.00	5.00	5.00	12.00	3.00	4.00	0.00
-0.44	0.26	2.15	3.84	6.46	1.54	0.31	6.83	3.00	5.00	5.00	3.00	8.00	6.00	2.00	0.00
-0.97	0.32	2.21	3.52	5.01	1.18	1.39	11.21	3.00	6.00	3.00	5.00	8.00	2.00	3.00	1.00
0.44	-0.84	1.59	0.11	8.64	0.88	-3.46	3.65	4.00	5.00	5.00	2.00	8.00	1.00	3.00	1.00
-0.65	-0.58	1.47	2.07	10.22	1.95	-3.16	6.65	5.00	5.00	2.00	5.00	9.00	6.00	4.00	1.00
0.93	-0.14	1.79	3.12	7.52	1.84	-0.53	8.35	4.00	5.00	5.00	5.00	8.00	6.00	1.00	0.00
-0.81	0.85	1.70	0.90	6.29	1.88	5.28	8.27	6.00	5.00	4.00	5.00	12.00	5.00	6.00	0.00
-0.21	-0.05	2.55	2.23	7.63	0.36	-0.49	4.98	3.00	4.00	2.00	2.00	8.00	5.00	1.00	0.00
-0.83	-0.17	1.52	0.82	7.52	0.43	-0.69	7.29	4.00	6.00	5.00	5.00	7.00	3.00	1.00	0.00
0.11	-0.29	1.92	0.01	7.32	1.93	-0.87	10.96	3.00	1.00	3.00	5.00	7.00	3.00	2.00	1.00
0.57	-0.99	1.12	0.91	9.07	1.25	-5.43	1.80	6.00	5.00	5.00	2.00	8.00	5.00	3.00	1.00
0.85	-0.92	1.24	1.86	8.69	1.20	-4.17	2.52	5.00	1.00	5.00	2.00	7.00	3.00	3.00	1.00
0.26	0.32	1.40	3.77	6.45	1.94	1.68	2.02	5.00	4.00	5.00	2.00	8.00	2.00	2.00	0.00
-0.47	-0.88	2.44	3.99	12.12	1.03	-2.93	12.43	3.00	6.00	5.00	5.00	8.00	1.00	6.00	1.00
-0.54	-0.70	1.57	2.78	10.55	1.56	-3.77	4.75	5.00	5.00	2.00	3.00	9.00	3.00	3.00	1.00
0.06	-0.37	1.64	2.73	9.57	0.69	-2.31	9.23	5.00	2.00	3.00	5.00	9.00	6.00	3.00	1.00
0.66	-0.70	3.49	0.57	10.45	0.61	-1.79	17.30	2.00	5.00	5.00	5.00	8.00	6.00	5.00	1.00
0.81	-0.80	1.32	3.37	7.84	1.05	-3.57	2.52	5.00	6.00	5.00	2.00	8.00	1.00	2.00	1.00
-0.78	-0.11	2.31	2.11	5.60	1.64	-0.19	10.86	2.00	6.00	5.00	5.00	6.00	2.00	2.00	0.00
0.56	-0.49	2.22	3.32	8.45	1.70	-1.25	12.13	3.00	5.00	3.00	5.00	7.00	6.00	4.00	1.00
0.89	0.83	1.86	1.88	7.17	0.36	4.95	8.99	6.00	5.00	2.00	5.00	12.00	1.00	5.00	0.00
-0.54	-0.91	2.48	1.35	11.54	1.24	-2.05	13.19	3.00	2.00	1.00	5.00	8.00	6.00	6.00	1.00
-0.28	-0.83	1.65	2.66	12.23	0.67	-4.19	7.96	5.00	5.00	5.00	5.00	9.00	4.00	5.00	1.00
0.07	-0.40	1.53	1.08	6.35	0.65	-1.65	1.64	4.00	5.00	5.00	1.00	7.00	4.00	2.00	1.00
-0.78	0.27	3.17	2.98	5.63	1.01	0.84	8.64	2.00	6.00	5.00	3.00	7.00	6.00	2.00	1.00
-0.55	0.20	0.99	2.02	5.42	1.70	0.51	1.82	6.00	5.00	1.00	2.00	7.00	5.00	1.00	0.00
-0.76	-0.65	1.65	2.97	13.59	0.15	-3.65	9.43	6.00	4.00	3.00	5.00	10.00	4.00	5.00	1.00
0.28	0.19	1.03	1.64	5.93	1.51	1.21	2.53	6.00	2.00	2.00	2.00	7.00	3.00	1.00	0.00
0.84	0.64	1.82	3.08	6.45	1.58	3.31	8.35	5.00	5.00	3.00	5.00	10.00	4.00	4.00	0.00
0.45	-0.15	3.04	1.95	6.28	0.71	-0.43	6.08	2.00	6.00	5.00	2.00	7.00	4.00	1.00	1.00
